LOGIN,IP,PUERTO,ESTADO_ELEMENTO,ESTADO_SERVICIO
uiomaxrack,172.30.252.18,xdsl 32,HABILITADO,Cancel
gyesrbajanac,172.17.112.254,xdsl 10,HABILITADO,Activo
gyecsmuno_m,172.17.112.253,xdsl 30,HABILITADO,Activo
uiolcardenas,172.30.254.20,xdsl 24,HABILITADO,Activo
baljelunac,172.26.2.254,xdsl 7,HABILITADO,Activo
uiojacrowc1,172.30.249.89,xdsl 13,HABILITADO,Activo
bbhfamosq_m,172.23.37.254,xdsl 27,HABILITADO,Activo
LIBRE,172.17.127.254,xdsl 23,BLOQUEADO,In-Corte
uiolvgodoya,172.30.252.178,xdsl 1,HABILITADO,Cancel
uioovzambranor,172.30.252.108,xdsl 11,HABILITADO,Activo
jipaspillasag_m,172.21.34.254,xdsl 7,HABILITADO,Activo
uiohmoreno,172.30.254.82,xdsl 8,HABILITADO,Activo
LIBRE,172.30.249.146,xdsl 3,HABILITADO,In-Corte
manhidalcorp,172.28.34.248,xdsl 32,HABILITADO,Activo
blsjhcabrerad_m,10.111.3.254,xdsl 2,HABILITADO,Activo
LIBRE,172.17.120.254,xdsl 15,BLOQUEADO,In-Corte
stdcaolivac,172.30.253.76,xdsl 34,HABILITADO,Activo
jiparsolorzan,172.21.32.254,xdsl 41,HABILITADO,Activo
uiomadalmau,172.30.254.20,xdsl 31,HABILITADO,Activo
gyehhtera,172.17.112.254,xdsl 35,HABILITADO,Activo
uioapcort,172.30.251.132,xdsl 37,HABILITADO,Activo
uiosbayasp,172.30.249.88,xdsl 18,HABILITADO,Activo
blsmrrami_m,10.111.2.254,xdsl 41,HABILITADO,Activo
uioejgaraicoar,172.30.252.34,xdsl 44,HABILITADO,Activo
libhispan,172.18.39.254,xdsl 28,HABILITADO,Activo
libcasaplan,172.18.55.254,xdsl 15,HABILITADO,Activo
quearvaldivm_m,172.22.33.254,xdsl 37,HABILITADO,Activo
piniloayzaj_m,172.24.52.254,xdsl 21,HABILITADO,Activo
manjamend_m,172.28.86.239,xdsl 33,HABILITADO,Activo
pinhrsanc_m,172.24.51.254,xdsl 34,HABILITADO,Activo
pingaaguilard_m,172.24.32.253,xdsl 14,HABILITADO,Activo
uiopanamerican3,172.30.249.166,xdsl 28,HABILITADO,Activo
uiolacomasisi_m,172.30.251.50,xdsl 18,HABILITADO,Cancel
macvgmach_m,172.20.45.254,xdsl 14,HABILITADO,Activo
LIBRE,172.30.249.179,xdsl 7,BLOQUEADO,In-Corte
uiogvclavijog1,172.30.249.165,xdsl 45,HABILITADO,Activo
caymvordo,172.30.250.3,xdsl 36,HABILITADO,Activo
pinfraguilaro1,172.24.32.254,xdsl 37,HABILITADO,Activo
uiongsegovias,172.30.251.85,xdsl 48,HABILITADO,Activo
gyeacasas,172.27.73.254,xdsl 30,HABILITADO,Activo
uioccmadridr,172.30.252.19,xdsl 23,HABILITADO,Activo
uiopmlogronog1,172.30.251.89,xdsl 45,HABILITADO,Activo
ballelunav,172.26.2.252,xdsl 25,HABILITADO,Activo
pinyatorr_m,172.24.34.253,xdsl 48,HABILITADO,Activo
empmfguan_m,172.22.101.252,xdsl 6,HABILITADO,Activo
jipbebaqued,172.21.37.254,xdsl 17,HABILITADO,Activo
jipdemm,172.21.26.254,xdsl 3,HABILITADO,Activo
mankhabze_m,172.28.112.246,xdsl 2,HABILITADO,Activo
pinyaenca_m,172.24.30.254,xdsl 22,HABILITADO,Activo
balmarona,172.26.2.253,xdsl 7,HABILITADO,Activo
jipmaparr,172.21.21.253,xdsl 30,HABILITADO,Cancel
libfapena_m,172.18.52.254,xdsl 12,HABILITADO,Activo
manas.a,172.28.34.254,xdsl 38,HABILITADO,Activo
balcibeltranc,172.26.3.254,xdsl 10,HABILITADO,Activo
porrpcanto,172.29.98.254,xdsl 8,HABILITADO,Activo
manguigal_m,172.28.125.252,xdsl 22,HABILITADO,Cancel
poriwloorc,172.29.58.254,xdsl 7,HABILITADO,Activo
gyegmreza_m,172.17.106.254,xdsl 2,HABILITADO,Activo
jipsigome,172.21.35.254,xdsl 37,HABILITADO,Activo
durdmmuri,172.17.105.254,xdsl 34,HABILITADO,Activo
uiolesalazar,172.30.254.167,xdsl 5,HABILITADO,Activo
jipfwguti,172.21.32.253,xdsl 9,HABILITADO,Cancel
porijespinozab,172.29.30.254,xdsl 18,HABILITADO,Activo
bbhckbeltrana_m,172.23.29.254,xdsl 2,HABILITADO,Activo
balvsurinal,172.26.2.253,xdsl 46,HABILITADO,Activo
gyeaiposligv,172.17.17.62,xdsl 8,HABILITADO,Activo
portacedenoz,172.29.50.254,xdsl 2,HABILITADO,Activo
durgmvill_m,172.17.133.254,xdsl 19,HABILITADO,Activo
uiocgmoyaa,172.30.251.87,xdsl 47,HABILITADO,Activo
macjhespi_m,172.20.36.254,xdsl 28,HABILITADO,Activo
LIBRE,172.28.48.254,xdsl 46,BLOQUEADO,In-Corte
uioefmisl,172.30.251.24,xdsl 24,HABILITADO,Activo
uiofgilvi,172.30.254.179,xdsl 45,HABILITADO,Cancel
gyedochoao,172.27.151.254,xdsl 27,HABILITADO,Activo
uiosxsosao,172.30.252.139,xdsl 26,HABILITADO,Activo
manabrodr_m,172.28.40.61,xdsl 37,HABILITADO,Activo
emplmvill_m,172.22.102.254,xdsl 21,HABILITADO,Activo
LIBRE,172.30.250.2,xdsl 34,BLOQUEADO,In-Corte
jipjajijonc,172.21.21.254,xdsl 43,HABILITADO,Activo
manhorold_m,172.28.34.249,xdsl 40,HABILITADO,Activo
uiomjgale,172.30.251.84,xdsl 22,HABILITADO,Activo
manjepicor,172.28.21.254,xdsl 38,HABILITADO,Activo
blskmchambah_m,10.111.3.253,xdsl 34,HABILITADO,Activo
uiojaball,172.30.251.82,xdsl 16,HABILITADO,Activo
uiojlcampanac,172.30.252.82,xdsl 5,HABILITADO,Activo
LIBRE,172.18.41.254,xdsl 4,BLOQUEADO,In-Corte
trimibast_m,10.114.12.254,xdsl 31,HABILITADO,Activo
LIBRE,172.20.38.254,xdsl 45,BLOQUEADO,In-Corte
macvdmoli_m,172.20.62.254,xdsl 38,HABILITADO,Activo
bbhmvpine_m,172.23.24.254,xdsl 44,HABILITADO,Cancel
LIBRE,172.17.133.254,xdsl 4,BLOQUEADO,In-Corte
trojpsoli2,10.114.9.254,xdsl 24,HABILITADO,Activo
uioreguan,172.30.251.87,xdsl 7,HABILITADO,Cancel
uiolmvale,172.30.249.86,xdsl 25,HABILITADO,Activo
trojciglesiasa,10.114.4.254,xdsl 31,HABILITADO,Activo
uiodrestevezs,172.30.254.92,xdsl 2,HABILITADO,Activo
gyemundomac,172.17.17.62,xdsl 11,HABILITADO,Activo
troddurqu_m,10.114.9.253,xdsl 29,HABILITADO,Activo
macmjjordana,172.20.20.254,xdsl 35,HABILITADO,Activo
trisfcabrer_m,10.114.16.254,xdsl 5,HABILITADO,Activo
LIBRE,172.22.100.254,xdsl 38,BLOQUEADO,In-Corte
uiocedetech,172.30.249.35,xdsl 4,HABILITADO,Activo
triooorte_m,10.114.3.253,xdsl 47,HABILITADO,Activo
baldbmend_m,172.26.2.253,xdsl 33,HABILITADO,Activo
uiofmmontano,172.30.249.164,xdsl 39,HABILITADO,Cancel
bbhdaolve2,172.23.29.254,xdsl 42,HABILITADO,Activo
trogfgarz_m,10.114.2.254,xdsl 2,HABILITADO,Activo
zarhdcarr_m,172.24.64.254,xdsl 18,HABILITADO,Activo
saleigles_m,172.18.63.254,xdsl 19,HABILITADO,Activo
porsdsalt_m,172.29.30.254,xdsl 1,HABILITADO,Activo
uiodrelizaldek,172.30.254.167,xdsl 34,HABILITADO,Cancel
LIBRE,172.22.103.254,xdsl 23,BLOQUEADO,In-Corte
gyereprec_m,172.17.106.254,xdsl 12,HABILITADO,Cancel
jipltdelg,172.21.35.254,xdsl 38,HABILITADO,Activo
uioegflorc,172.30.249.226,xdsl 10,HABILITADO,Activo
quembbarr_m,172.22.68.254,xdsl 14,HABILITADO,Activo
manmcvill_m,172.28.125.254,xdsl 2,HABILITADO,Activo
stlvhecheve,172.18.56.254,xdsl 23,HABILITADO,Activo
quereterreglos,172.22.52.254,xdsl 5,HABILITADO,Activo
quepbcalderonz,172.22.44.254,xdsl 29,HABILITADO,Activo
querjchil,172.22.56.253,xdsl 23,HABILITADO,Activo
porap,172.29.21.253,xdsl 8,HABILITADO,Activo
LIBRE,172.16.106.253,xdsl 4,HABILITADO,In-Corte
vincmcruzv,172.25.4.254,xdsl 11,HABILITADO,Cancel
queffsanc,172.22.53.254,xdsl 9,HABILITADO,Activo
portacarofilism,172.29.98.254,xdsl 38,HABILITADO,Activo
queofguerrac_m,172.22.54.254,xdsl 9,HABILITADO,Activo
quepaperezm,172.22.29.254,xdsl 32,HABILITADO,Activo
manvadelgadoa,172.28.125.252,xdsl 15,HABILITADO,Activo
gyetarjealmant,172.28.34.254,xdsl 5,HABILITADO,Activo
quefafonsecaa,172.22.56.254,xdsl 14,HABILITADO,Activo
quepavintim,172.22.66.254,xdsl 20,HABILITADO,Activo
mancyarte,172.28.75.254,xdsl 1,HABILITADO,Activo
libhfsuarezg_m,172.18.52.254,xdsl 38,HABILITADO,Activo
milirperalt,172.16.21.241,xdsl 5,HABILITADO,Activo
quefemaciasm,172.22.52.253,xdsl 4,HABILITADO,Activo
jipmemorans,172.21.21.253,xdsl 9,HABILITADO,Activo
trowdarce_m,10.114.13.254,xdsl 27,HABILITADO,Activo
zareapine,172.24.70.254,xdsl 47,HABILITADO,Activo
trocisama_m,10.114.5.254,xdsl 2,HABILITADO,Activo
saljemont_m,172.18.58.254,xdsl 15,HABILITADO,Activo
zarapagui_m,172.24.66.254,xdsl 46,HABILITADO,Activo
pinucordo_m3,172.24.30.254,xdsl 14,HABILITADO,Activo
manrcmerc_m,172.28.112.246,xdsl 41,HABILITADO,Cancel
LIBRE,172.25.1.252,xdsl 35,BLOQUEADO,In-Corte
LIBRE,172.16.106.254,xdsl 3,HABILITADO,In-Corte
vinvvleonf,172.25.2.252,xdsl 22,HABILITADO,Activo
jipclpinc_m,172.21.37.254,xdsl 45,HABILITADO,Activo
jipjecarv,172.21.26.254,xdsl 40,HABILITADO,Activo
empmfchav,172.22.101.254,xdsl 24,HABILITADO,Activo
vinlicoel_m,172.25.1.250,xdsl 46,HABILITADO,Activo
LIBRE,172.25.2.254,xdsl 34,BLOQUEADO,In-Corte
libomnis_m,172.18.64.254,xdsl 14,HABILITADO,Activo
vinluderson_m,172.25.5.254,xdsl 2,HABILITADO,Activo
empnrarri,172.22.101.252,xdsl 44,BLOQUEADO,Activo
LIBRE,172.24.34.253,xdsl 1,BLOQUEADO,Cancel
LIBRE,172.25.6.254,xdsl 32,BLOQUEADO,In-Corte
LIBRE,172.25.1.254,xdsl 7,BLOQUEADO,In-Corte
zarjmarmi_m,172.24.65.254,xdsl 8,HABILITADO,Activo
pinvmrive_m,172.24.48.254,xdsl 10,HABILITADO,Activo
uioheenriquezp1,172.30.251.89,xdsl 37,HABILITADO,Cancel
LIBRE,172.16.24.251,xdsl 18,BLOQUEADO,In-Corte
palnimore,172.25.8.254,xdsl 37,HABILITADO,Activo
vinjfsotomayorm,172.25.3.254,xdsl 15,HABILITADO,Activo
millfonates_m6,172.16.24.253,xdsl 35,HABILITADO,Activo
LIBRE,172.24.69.254,xdsl 15,BLOQUEADO,In-Corte
quebljime,172.22.41.254,xdsl 44,HABILITADO,Activo
milmmamag_m6,172.16.63.254,xdsl 10,HABILITADO,Activo
uioagpena,172.30.251.85,xdsl 24,HABILITADO,Activo
manbgmedi_m,172.28.125.251,xdsl 26,HABILITADO,Activo
LIBRE,172.30.249.74,xdsl 32,BLOQUEADO,In-Corte
porbvmore_m,172.29.70.254,xdsl 19,HABILITADO,Activo
quecacastillom,172.22.58.254,xdsl 1,HABILITADO,Activo
macwamedinaa_m,172.20.22.251,xdsl 13,HABILITADO,Activo
milfcvelo_m6,172.16.21.245,xdsl 39,HABILITADO,Activo
balltcarb,172.26.4.254,xdsl 28,HABILITADO,Activo
uioiewollmanna,172.30.249.165,xdsl 33,HABILITADO,Activo
quecabaja_m,172.22.50.254,xdsl 13,HABILITADO,Activo
milminchi_m,172.16.22.253,xdsl 20,HABILITADO,Activo
milerguev_m,172.16.57.254,xdsl 46,HABILITADO,Activo
manfmfeijooc,172.28.50.254,xdsl 17,HABILITADO,Activo
uiocvazqu_m,172.30.249.179,xdsl 19,HABILITADO,Activo
macwlcamp_m,172.20.45.254,xdsl 9,HABILITADO,Activo
quebtcres,172.22.21.252,xdsl 12,HABILITADO,Activo
quefdpere_m,172.22.70.254,xdsl 26,HABILITADO,Activo
duramespa,172.17.104.254,xdsl 44,HABILITADO,Activo
uioacajiac_m,172.30.251.50,xdsl 32,HABILITADO,Cancel
LIBRE,172.22.57.254,xdsl 21,BLOQUEADO,In-Corte
uiojrsteadb,172.30.252.171,xdsl 25,HABILITADO,Activo
pinjcguam_m,172.24.32.253,xdsl 32,HABILITADO,Activo
uiosrguer,172.30.249.90,xdsl 27,HABILITADO,Activo
porrmlunap,172.29.78.254,xdsl 5,HABILITADO,Activo
mangechoe2_m,172.28.86.239,xdsl 36,HABILITADO,Activo
libwghern,172.18.55.254,xdsl 11,HABILITADO,Activo
milpnaven_m,172.16.21.252,xdsl 4,HABILITADO,Activo
pinjhpardoo_m,172.24.52.254,xdsl 26,HABILITADO,Activo
LIBRE,172.18.39.254,xdsl 9,BLOQUEADO,In-Corte
blspmelizald_m,10.111.2.254,xdsl 8,HABILITADO,Activo
milalcast_m,172.16.22.254,xdsl 46,HABILITADO,Activo
milpeverag_m6,172.16.22.246,xdsl 20,HABILITADO,Activo
uiopmaldonadoc,172.30.249.88,xdsl 15,HABILITADO,Activo
porsebailonq,172.29.86.254,xdsl 33,HABILITADO,Activo
uiokolorsa_m,172.30.249.211,xdsl 15,HABILITADO,Activo
uioagfigu_m,172.30.251.132,xdsl 34,HABILITADO,Cancel
milpeluce_m4,172.16.22.248,xdsl 12,HABILITADO,Activo
LIBRE,172.17.112.254,xdsl 36,BLOQUEADO,In-Corte
pingcquic_m,172.24.34.254,xdsl 41,HABILITADO,Activo
milpameral_m6,172.16.39.254,xdsl 19,HABILITADO,Activo
porjftorr,172.29.106.252,xdsl 33,HABILITADO,Activo
milouocanav_m,172.16.45.254,xdsl 8,HABILITADO,Activo
jipctayonv,172.21.29.254,xdsl 48,HABILITADO,Activo
porfaintr_m,172.29.94.254,xdsl 11,HABILITADO,Activo
LIBRE,172.24.47.254,xdsl 11,BLOQUEADO,In-Corte
miljariosc_m6,172.16.20.254,xdsl 28,HABILITADO,Activo
porepgarr_m,172.29.26.248,xdsl 25,HABILITADO,Activo
LIBRE,172.30.253.76,xdsl 11,BLOQUEADO,In-Corte
milpafial_m,172.16.60.254,xdsl 19,HABILITADO,Activo
gyecjcani_m,172.17.120.254,xdsl 31,HABILITADO,Activo
manwfmezab_m,172.28.34.251,xdsl 32,HABILITADO,Cancel
pinmncunhar_m,172.24.30.253,xdsl 4,HABILITADO,Cancel
porfrzamb,172.29.122.254,xdsl 39,HABILITADO,Activo
LIBRE,172.16.94.254,xdsl 11,BLOQUEADO,In-Corte
militmendo_m6,172.16.20.250,xdsl 36,HABILITADO,Activo
manjffaub_m,172.28.34.248,xdsl 3,HABILITADO,Activo
blskjmacanch_m,10.111.3.254,xdsl 13,HABILITADO,Activo
porreguer,172.29.26.250,xdsl 31,HABILITADO,Activo
uioecusimanoc,172.30.249.146,xdsl 7,HABILITADO,Activo
uiormlunaz_m,172.30.254.82,xdsl 36,HABILITADO,Activo
quealcamp,172.22.51.254,xdsl 3,HABILITADO,Cancel
jipnfcooxv,172.21.34.254,xdsl 16,HABILITADO,Cancel
porkainza,172.29.26.252,xdsl 30,HABILITADO,Activo
uioblbobina1,172.30.252.18,xdsl 48,HABILITADO,Activo
porgmmerac,172.29.106.254,xdsl 14,HABILITADO,Activo
porrarocac,172.29.26.251,xdsl 30,HABILITADO,Activo
LIBRE,172.30.252.108,xdsl 22,BLOQUEADO,Cancel
uiomerivade,172.30.252.178,xdsl 38,HABILITADO,Activo
porjztorog,172.29.62.254,xdsl 1,HABILITADO,Activo
jipjltumb,172.21.36.254,xdsl 9,HABILITADO,Activo
LIBRE,172.22.21.254,xdsl 11,BLOQUEADO,In-Corte
poraejarar,172.29.82.254,xdsl 6,HABILITADO,Activo
gyecgvill_m,172.17.127.254,xdsl 34,HABILITADO,Activo
bbhimmor_m,172.23.37.254,xdsl 24,HABILITADO,Activo
uioagneidle,172.30.249.89,xdsl 6,HABILITADO,Activo
porackuff,172.29.90.254,xdsl 2,HABILITADO,Activo
porfavinc,172.29.26.250,xdsl 40,HABILITADO,Activo
LIBRE,172.17.112.253,xdsl 3,BLOQUEADO,Cancel
milfmoncayor,172.16.20.250,xdsl 47,HABILITADO,Activo
manmapicos,172.28.34.248,xdsl 12,HABILITADO,Activo
blslfcama2_m,10.111.3.254,xdsl 14,HABILITADO,Activo
LIBRE,172.29.122.254,xdsl 36,BLOQUEADO,In-Corte
LIBRE,172.16.94.254,xdsl 10,BLOQUEADO,In-Corte
gyexpmiel_m,172.17.120.254,xdsl 22,HABILITADO,Activo
pinclanaz_m,172.24.30.253,xdsl 26,HABILITADO,Activo
milamfranc_m4,172.16.60.254,xdsl 47,HABILITADO,Activo
pinsmoscosog,172.24.28.254,xdsl 21,HABILITADO,Activo
manrmbaya_m,172.28.34.251,xdsl 36,HABILITADO,Activo
miljjcarrilloz,172.16.20.254,xdsl 9,HABILITADO,Activo
pormvleonv_m,172.29.26.248,xdsl 26,HABILITADO,Activo
stdjrreye_m,172.30.253.76,xdsl 13,HABILITADO,Cancel
jipfqindacocs,172.21.29.254,xdsl 20,HABILITADO,Activo
milamvacaa_m8,172.16.45.254,xdsl 7,HABILITADO,Activo
pineracar_m,172.24.47.254,xdsl 40,HABILITADO,Activo
porfaintr_m,172.29.94.254,xdsl 11,HABILITADO,Activo
porjjroma,172.29.106.252,xdsl 42,HABILITADO,Activo
pinrimonteroa_m,172.24.34.254,xdsl 14,HABILITADO,Activo
milcineca,172.16.39.254,xdsl 7,HABILITADO,Activo
milsvilla_m,172.16.22.248,xdsl 43,HABILITADO,Activo
porsldelg2,172.29.86.254,xdsl 14,HABILITADO,Activo
miljcpincayc,172.16.22.246,xdsl 17,HABILITADO,Activo
uiolddea1,172.30.249.211,xdsl 30,HABILITADO,Activo
milaljarar_m,172.16.22.254,xdsl 12,HABILITADO,Activo
LIBRE,10.111.2.254,xdsl 13,BLOQUEADO,In-Corte
miljaacost_m4,172.16.21.242,xdsl 42,HABILITADO,Activo
uioxbbohorquezr,172.30.254.20,xdsl 19,HABILITADO,Activo
milmjparedesp,172.16.21.252,xdsl 1,HABILITADO,Activo
libdesoli_m,172.18.55.254,xdsl 25,HABILITADO,Activo
pinmmromeror_m,172.24.52.254,xdsl 39,HABILITADO,Activo
manjaholg_m,172.28.86.239,xdsl 39,HABILITADO,Activo
jipcmfrancop,172.21.32.254,xdsl 35,HABILITADO,Activo
LIBRE,172.30.249.90,xdsl 1,BLOQUEADO,In-Corte
porpfguer2,172.29.78.254,xdsl 3,HABILITADO,Activo
querejara,172.22.57.254,xdsl 35,HABILITADO,Activo
pinjjtorrese_m,172.24.32.253,xdsl 2,HABILITADO,Activo
queggmolinar,172.22.70.254,xdsl 18,HABILITADO,Activo
uiopxguerreroa2,172.30.252.171,xdsl 38,HABILITADO,Activo
